! ------------ AirfoilInfo v1.01.x Input File ----------------------------------
! DU35 airfoil with an aspect ratio of 17.  Original -180 to 180deg Cl, Cd, and Cm versus AOA data taken from Appendix A of DOWEC document 10046_009.pdf (numerical values obtained from Koert Lindenburg of ECN).
! Cl and Cd values corrected for rotational stall delay and Cd values corrected using the Viterna method for 0 to 90deg AOA by Jason Jonkman using AirfoilPrep_v2p0.xls.
! note that this file uses Marshall Buhl's new input file processing; start all comment lines with !
! ------------------------------------------------------------------------------
"DEFAULT"     InterpOrd         ! Interpolation order to use for quasi-steady table lookup {1=linear; 3=cubic spline; "default"} [default=1]
          1   NonDimArea        ! The non-dimensional area of the airfoil (area/chord^2) (set to 1.0 if unsure or unneeded)
        400   NumCoords         ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
0.25        0
! coordinates of airfoil shape; data from TU Delft as posted here: https://wind.nrel.gov/forum/wind/viewtopic.php?f=2&t=440
! Adjusted DU 35
! x/c      y/c
1.00000   0.00283
0.99660   0.00378
0.99314   0.00477
0.98961   0.00578
0.98601   0.00683
0.98235   0.00789
0.97863   0.00897
0.97484   0.01006
0.97098   0.01116
0.96706   0.01228
0.96307   0.01342
0.95902   0.01456
0.95490   0.01571
0.95072   0.01688
0.94647   0.01806
0.94216   0.01926
0.93778   0.02046
0.93333   0.02169
0.92882   0.02292
0.92425   0.02419
0.91961   0.02547
0.91490   0.02675
0.91013   0.02807
0.90529   0.02941
0.90039   0.03077
0.89542   0.03214
0.89039   0.03353
0.88529   0.03495
0.88013   0.03638
0.87490   0.03782
0.86961   0.03929
0.86425   0.04079
0.85882   0.04230
0.85333   0.04383
0.84778   0.04538
0.84216   0.04694
0.83647   0.04853
0.83072   0.05013
0.82490   0.05176
0.81902   0.05340
0.81307   0.05506
0.80706   0.05673
0.80098   0.05842
0.79484   0.06013
0.78863   0.06184
0.78235   0.06358
